Feel,expressrer,emotion,eva,obs,sex,age
1,5,2,0,25,1,26
0,6,2,0,25,1,26
1,6,2,1,25,1,26
0,7,1,0,25,1,26
1,7,1,1,25,1,26
0,1,0,0,26,1,27
1,1,0,1,26,1,27
0,2,3,1,26,1,27
0,2,0,0,26,1,27
1,2,3,1,26,1,27
1,2,0,0,26,1,27
0,3,1,0,26,1,27
1,3,1,1,26,1,27
0,4,3,0,26,1,27
1,4,3,1,26,1,27
0,5,2,1,26,1,27
1,5,2,0,26,1,27
0,6,2,0,26,1,27
1,6,2,0,26,1,27
0,7,1,0,26,1,27
1,7,1,1,26,1,27
0,1,0,0,27,0,23
1,1,0,1,27,0,23
0,2,3,1,27,0,23
0,2,0,0,27,0,23
1,2,3,1,27,0,23
1,2,0,0,27,0,23
0,3,1,1,27,0,23
1,3,1,1,27,0,23
0,4,3,0,27,0,23
1,4,3,1,27,0,23
0,5,2,0,27,0,23
1,5,2,0,27,0,23
0,6,2,1,27,0,23
1,6,2,0,27,0,23
0,7,1,0,27,0,23
1,7,1,1,27,0,23
0,1,0,0,28,1,27
1,1,0,1,28,1,27
0,2,3,0,28,1,27
0,2,0,1,28,1,27
1,2,3,1,28,1,27
1,2,0,0,28,1,27
0,3,1,0,28,1,27
1,3,1,1,28,1,27
0,4,3,1,28,1,27
1,4,3,1,28,1,27
0,5,2,0,28,1,27
1,5,2,0,28,1,27
0,6,2,0,28,1,27
1,6,2,1,28,1,27
0,7,1,0,28,1,27
1,7,1,0,28,1,27
0,1,0,0,29,1,25
1,1,0,1,29,1,25
0,2,3,1,29,1,25
0,2,0,0,29,1,25
1,2,3,1,29,1,25
1,2,0,1,29,1,25
0,3,1,0,29,1,25
1,3,1,1,29,1,25
0,4,3,0,29,1,25
1,4,3,1,29,1,25
0,5,2,0,29,1,25
1,5,2,1,29,1,25
0,6,2,0,29,1,25
1,6,2,1,29,1,25
0,7,1,0,29,1,25
1,7,1,1,29,1,25
0,1,0,0,30,0,22
1,1,0,1,30,0,22
0,2,3,1,30,0,22
0,2,0,0,30,0,22
1,2,3,0,30,0,22
1,2,0,1,30,0,22
0,3,1,0,30,0,22
1,3,1,0,30,0,22
0,4,3,0,30,0,22
1,4,3,1,30,0,22
0,5,2,0,30,0,22
1,5,2,0,30,0,22
0,6,2,0,30,0,22
1,6,2,1,30,0,22
0,7,1,0,30,0,22
1,7,1,1,30,0,22
