rt,sub,cond
1.01,4,1
4.9899,4,1
1.2484,4,1
1.7694,4,1
6.0977,4,1
8.4987,4,1
2.5718,4,1
3.2375,4,1
4.57,4,1
3.4435,4,1
1.1561,4,1
1.9925,4,1
0.91928,4,1
0.90391,4,1
1.1602,4,1
1.0836,4,1
3.2684,4,1
2.4598,4,1
3.3864,4,1
1.0556,4,1
3.9704,4,1
2.2683,4,1
1.1485,4,1
2.1619,4,1
3.7105,4,1
3.468,4,1
4.1404,4,1
23.792,4,1
1.3436,4,1
55.075,4,1
3.9781,4,1
2.9597,4,1
8.5489,4,1
2.6445,4,1
0.95828,4,1
1.2332,4,1
2.8232,4,1
1.3825,4,1
0.91003,4,1
2.0669,4,1
0.98678,4,1
1.5384,4,1
1.2786,4,1
1.5859,4,1
2.1669,4,1
2.1633,4,1
1.4115,4,1
2.1624,4,1
1.7276,4,1
1.6393,4,1
2.6552,4,1
7.7141,4,1
8.9055,4,1
7.7237,4,1
1.7646,4,1
3.5118,4,1
3.7942,4,1
12.667,4,1
2.0085,4,1
2.234,4,1
0.96774,4,1
1.506,4,1
2.2355,4,1
0.86278,4,1
1.5513,4,1
1.913,4,1
1.625,4,1
1.8083,4,1
2.0551,4,1
19.576,4,1
1.9937,4,1
1.6252,4,1
1.4677,4,1
2.9513,4,1
1.3836,4,1
4.5864,4,1
14.062,4,1
1.8195,4,1
2.4929,4,1
2.1148,4,1
3.3607,4,1
14.773,4,1
2.9012,4,1
1.6951,4,1
0.74436,4,1
1.1079,4,1
0.88759,4,1
1.3465,4,1
1.6751,4,1
1.1419,4,1
1.6949,4,1
1.8169,4,1
2.4327,4,1
0.98104,4,1
1.4178,4,1
1.724,4,1
0.9109,4,1
2.0246,4,1
1.6158,4,1
5.7321,4,1
2.2157,4,1
1.3609,4,1
1.8175,4,1
11.772,4,1
2.6504,4,1
2.4071,4,1
1.0832,4,1
1.8289,4,1
1.7162,4,1
1.6533,4,1
1.4851,4,1
0.90427,4,1
1.22,4,1
1.3131,4,1
2.0241,4,1
1.8406,4,1
1.4845,4,1
1.6081,4,1
2.3174,4,1
2.1124,4,1
3.8934,4,1
7.876,4,1
12.051,4,1
1.5906,4,1
14.394,4,1
5.7703,4,1
1.9405,4,1
3.6582,4,1
13.802,4,1
15.586,4,1
4.0692,4,2
2.3514,4,2
10.209,4,2
1.9696,4,2
1.4721,4,2
1.5168,4,2
3.2821,4,2
1.8984,4,2
2.9065,4,2
3.4019,4,2
2.7382,4,2
4.2244,4,2
12.537,4,2
8.9604,4,2
12.794,4,2
2.876,4,2
2.071,4,2
5.6435,4,2
7.1628,4,2
18.621,4,2
14.226,4,2
13.763,4,2
23.179,4,2
5.3739,4,2
1.2045,4,2
1.1857,4,2
1.2408,4,2
1.2584,4,2
1.2708,4,2
9.6178,4,2
2.3088,4,2
2.3592,4,2
6.1231,4,2
1.5267,4,2
2.0169,4,2
1.7864,4,2
1.4024,4,2
5.7485,4,2
1.1382,4,2
1.5511,4,2
1.8614,4,2
2.1352,4,2
8.3388,4,2
2.1333,4,2
7.1522,4,2
2.0538,4,2
20.039,4,2
3.4976,4,2
1.1494,5,1
1.2207,5,1
1.6709,5,1
0.98487,5,1
1.3476,5,1
2.8243,5,1
1.5807,5,1
1.8168,5,1
1.2408,5,1
9.2798,5,1
2.265,5,1
8.323,5,1
4.1623,5,1
2.2538,5,1
2.7521,5,1
1.1997,5,1
5.1011,5,1
0.99673,5,1
2.4641,5,1
2.7367,5,1
4.6017,5,1
1.7504,5,1
2.2795,5,1
2.0233,5,1
1.3081,5,1
0.99385,5,1
1.7911,5,1
1.9402,5,1
1.543,5,1
2.0796,5,1
1.4077,5,1
1.1985,5,1
2.982,5,1
4.065,5,1
2.4119,5,1
3.9688,5,1
1.1987,5,1
1.6783,5,1
1.6761,5,1
2.3469,5,1
6.1284,5,1
2.3018,5,1
2.0742,5,1
2.0654,5,1
10.864,5,1
2.6094,5,1
1.6444,5,1
2.1297,5,1
1.1905,5,1
1.3712,5,1
1.2524,5,1
1.3069,5,1
2.3398,5,1
1.6699,5,1
2.0958,5,1
1.651,5,1
1.6943,5,1
2.2259,5,1
6.0414,5,1
2.7146,5,1
3.3442,5,1
3.1617,5,1
2.3881,5,1
2.7922,5,1
2.6012,5,1
2.7988,5,1
11.214,5,1
1.3399,5,1
4.4708,5,1
5.2805,5,1
3.5675,5,1
19.49,5,1
1.1074,5,1
1.5697,5,1
4.1215,5,1
1.6955,5,1
3.2515,5,1
2.6042,5,1
1.5302,5,1
1.0862,5,1
1.3052,5,1
3.6792,5,1
2.3442,5,1
1.4193,5,1
4.0743,5,1
3.5902,5,1
5.2154,5,1
2.5818,5,1
2.0756,5,1
4.5341,5,1
2.5492,5,1
4.0453,5,1
1.0816,5,1
2.8042,5,1
9.2574,5,1
3.1394,5,1
1.7229,5,1
1.3044,5,1
1.3833,5,1
2.1873,5,1
1.9623,5,1
1.6414,5,1
1.4665,5,1
1.3636,5,1
3.1744,5,1
2.6771,5,1
1.3017,5,1
1.2906,5,1
4.8769,5,1
4.339,5,1
2.2541,5,1
2.407,5,1
3.3377,5,1
1.4775,5,1
3.4343,5,1
2.4851,5,1
4.0149,5,1
4.5264,5,1
3.5183,5,1
1.0781,5,1
1.3972,5,1
2.7255,5,1
1.8216,5,1
2.3048,5,1
1.6255,5,1
1.353,5,1
1.1416,5,1
1.2977,5,1
7.0406,5,1
1.9398,5,1
2.0481,5,1
1.8227,5,1
1.1933,5,1
1.6162,5,1
2.5827,5,1
1.6402,5,1
3.649,5,1
22.241,5,1
7.442,5,1
3.978,5,1
5.5089,5,1
9.9939,5,1
3.5601,5,1
6.3108,5,1
1.7733,5,1
3.2042,5,1
1.3452,5,1
1.2617,5,1
1.8944,5,1
1.7736,5,1
1.3541,5,1
2.027,5,1
1.8012,5,1
2.0411,5,1
2.1056,5,1
2.7405,5,1
2.2436,5,1
1.3155,5,1
1.783,5,1
4.0781,5,1
7.025,5,1
1.9525,5,1
22.426,5,1
2.0494,5,1
18.507,5,1
2.6579,5,1
1.4711,5,1
1.7244,5,1
2.1333,5,1
1.5288,5,1
2.0548,5,1
1.0054,5,1
1.124,5,1
1.4209,5,1
1.2224,5,1
2.2377,5,1
2.8689,5,1
1.7423,5,1
1.7357,5,1
2.4365,5,1
1.7413,5,1
1.313,5,1
3.1273,5,1
3.7128,5,1
2.732,5,1
1.5466,5,1
1.5628,5,1
4.9982,5,1
2.1403,5,1
5.0571,5,1
5.1333,5,1
2.863,5,1
1.7427,5,2
1.4281,5,2
2.0813,5,2
1.8708,5,2
1.4944,5,2
2.0132,5,2
2.0049,5,2
3.3647,5,2
1.8889,5,2
2.3753,5,2
3.0542,5,2
2.0442,5,2
3.5325,5,2
3.832,5,2
3.9545,5,2
1.4397,5,2
8.7807,5,2
2.5544,5,2
4.4215,5,2
13.317,5,2
4.8053,5,2
4.0733,5,2
12.869,5,2
13.338,5,2
1.429,5,2
1.3984,5,2
10.055,5,2
2.1009,5,2
1.9393,5,2
1.3091,5,2
1.943,5,2
1.5934,5,2
2.2489,5,2
1.5247,5,2
1.9896,5,2
2.483,5,2
2.816,5,2
7.3362,5,2
1.8564,5,2
1.8868,5,2
8.1525,5,2
3.6913,5,2
2.4117,5,2
1.5576,5,2
3.7941,5,2
5.5079,5,2
3.2293,5,2
5.1189,5,2
1.7131,6,1
0.92167,6,1
2.0212,6,1
0.88271,6,1
1.013,6,1
2.0607,6,1
1.4116,6,1
1.0678,6,1
1.6756,6,1
0.88811,6,1
2.3008,6,1
1.5442,6,1
1.13,6,1
2.4614,6,1
2.5779,6,1
1.7543,6,1
2.3126,6,1
6.4097,6,1
5.5303,6,1
0.95566,6,1
6.8779,6,1
1.61,6,1
4.2398,6,1
2.6243,6,1
1.4028,6,1
1.137,6,1
0.91742,6,1
1.1819,6,1
0.8103,6,1
1.2926,6,1
0.57621,6,1
1.3357,6,1
2.7996,6,1
1.9633,6,1
1.9606,6,1
0.99993,6,1
3.3408,6,1
1.9026,6,1
1.4971,6,1
2.146,6,1
1.2182,6,1
1.5031,6,1
2.4957,6,1
16.028,6,1
3.0494,6,1
1.8134,6,1
4.2794,6,1
2.7544,6,1
1.9193,6,1
0.85848,6,1
1.4053,6,1
0.96474,6,1
0.93788,6,1
1.5161,6,1
0.75606,6,1
1.2452,6,1
1.3266,6,1
2.2413,6,1
2.1974,6,1
1.4795,6,1
1.7403,6,1
3.4814,6,1
1.0083,6,1
1.7912,6,1
8.6316,6,1
2.4035,6,1
3.27,6,1
2.6381,6,1
15.47,6,1
6.4901,6,1
1.8268,6,1
2.3984,6,1
1.0632,6,1
1.1306,6,1
1.1274,6,1
1.3673,6,1
0.75162,6,1
2.0822,6,1
1.2196,6,1
0.98271,6,1
0.86686,6,1
1.3688,6,1
1.1937,6,1
1.9893,6,1
1.2728,6,1
1.1028,6,1
1.0404,6,1
2.1494,6,1
4.0575,6,1
1.1103,6,1
2.0873,6,1
1.8155,6,1
3.5838,6,1
2.0846,6,1
2.7662,6,1
1.6115,6,1
1.0939,6,1
0.79976,6,1
1.2026,6,1
0.89723,6,1
0.83458,6,1
0.8645,6,1
0.77173,6,1
1.5495,6,1
1.6613,6,1
1.2944,6,1
1.5006,6,1
0.71357,6,1
1.263,6,1
1.4209,6,1
1.4326,6,1
1.9578,6,1
2.196,6,1
3.5944,6,1
3.1389,6,1
2.2223,6,1
2.2998,6,1
4.0204,6,1
13.339,6,1
2.4577,6,1
1.3008,6,1
2.5046,6,1
1.6811,6,1
0.74716,6,1
2.3335,6,1
1.073,6,1
0.80167,6,1
0.85127,6,1
2.0984,6,1
1.0809,6,1
1.4445,6,1
1.4819,6,1
0.87248,6,1
1.1022,6,1
1.1944,6,1
1.6434,6,1
7.464,6,1
6.9378,6,1
3.9107,6,1
3.1051,6,1
5.2978,6,1
1.22,6,1
1.1234,6,1
1.9436,6,1
1.2868,6,1
1.1088,6,1
1.2191,6,1
1.5094,6,1
1.6326,6,1
1.4284,6,1
2.0488,6,1
1.6834,6,1
1.6256,6,1
1.8037,6,1
2.864,6,1
2.3902,6,1
1.7836,6,1
2.24,6,1
6.6324,6,1
2.1048,6,1
6.2272,6,1
1.1568,6,1
3.5218,6,1
1.4961,6,1
2.6026,6,1
1.6196,6,1
1.5093,6,1
2.9185,6,1
0.91116,6,1
1.1394,6,1
1.4762,6,1
0.91509,6,1
0.9018,6,1
1.0725,6,1
1.968,6,1
1.3608,6,1
2.0881,6,1
2.1556,6,1
1.487,6,1
5.6423,6,1
2.6147,6,1
1.459,6,1
0.85999,6,1
1.5669,6,1
11.066,6,1
1.802,6,1
1.4273,6,1
1.3794,6,1
4.2385,6,1
2.5766,6,1
1.6687,6,1
0.98742,6,1
1.2057,6,2
0.95806,6,2
0.88666,6,2
1.853,6,2
1.1485,6,2
0.91368,6,2
1.1467,6,2
1.9695,6,2
1.0256,6,2
1.7469,6,2
2.9132,6,2
2.1631,6,2
2.5283,6,2
1.6075,6,2
1.1593,6,2
2.2359,6,2
10.113,6,2
2.1128,6,2
1.0762,6,2
3.6324,6,2
19.733,6,2
2.4771,6,2
4.9178,6,2
12.445,6,2
1.1886,6,2
1.2955,6,2
1.0103,6,2
1.4708,6,2
2.0425,6,2
1.9903,6,2
1.0041,6,2
1.1893,6,2
1.7089,6,2
1.153,6,2
1.4083,6,2
2.0762,6,2
2.6429,6,2
1.8896,6,2
3.1304,6,2
2.7227,6,2
1.185,6,2
14.92,6,2
3.9051,6,2
6.3364,6,2
4.0378,6,2
2.5501,6,2
10.382,6,2
3.0982,6,2
3.1069,7,1
1.1188,7,1
1.1162,7,1
1.0067,7,1
0.99557,7,1
1.8689,7,1
0.93775,7,1
1.6153,7,1
2.2975,7,1
1.3995,7,1
2.855,7,1
1.298,7,1
1.9189,7,1
1.1965,7,1
2.7101,7,1
1.2788,7,1
1.8762,7,1
5.437,7,1
2.417,7,1
2.2228,7,1
2.0297,7,1
3.5299,7,1
2.6672,7,1
4.0237,7,1
1.4227,7,1
2.6918,7,1
0.98534,7,1
1.4476,7,1
1.1831,7,1
1.5601,7,1
1.3875,7,1
0.92567,7,1
1.9833,7,1
1.3016,7,1
1.2583,7,1
1.0782,7,1
1.3741,7,1
4.635,7,1
2.57,7,1
1.069,7,1
3.2158,7,1
1.1577,7,1
1.4791,7,1
2.6407,7,1
1.3558,7,1
1.5415,7,1
2.8641,7,1
2.9887,7,1
1.8441,7,1
0.84235,7,1
1.3131,7,1
0.91225,7,1
0.9678,7,1
2.4544,7,1
0.91032,7,1
0.9526,7,1
1.4881,7,1
8.2135,7,1
1.4989,7,1
1.6241,7,1
0.96996,7,1
1.4464,7,1
1.9835,7,1
0.8791,7,1
4.2488,7,1
2.9246,7,1
3.2671,7,1
1.3316,7,1
1.8807,7,1
2.4953,7,1
2.922,7,1
2.8906,7,1
0.96538,7,1
1.9566,7,1
1.3157,7,1
1.1235,7,1
1.1753,7,1
1.4544,7,1
0.91105,7,1
1.317,7,1
1.3705,7,1
2.0378,7,1
1.1977,7,1
2.1357,7,1
1.0962,7,1
1.0009,7,1
1.5289,7,1
1.743,7,1
1.4954,7,1
1.9307,7,1
1.6623,7,1
1.63,7,1
1.5638,7,1
5.2576,7,1
5.2852,7,1
2.0704,7,1
0.8216,7,1
1.7116,7,1
0.78075,7,1
1.2014,7,1
0.94111,7,1
4.2522,7,1
1.0273,7,1
1.7838,7,1
2.0703,7,1
1.6752,7,1
1.8633,7,1
0.78434,7,1
1.0639,7,1
1.455,7,1
2.26,7,1
4.2574,7,1
8.7873,7,1
1.5709,7,1
1.3093,7,1
3.1355,7,1
1.2914,7,1
2.7262,7,1
6.8683,7,1
1.6492,7,1
0.69335,7,1
1.4196,7,1
0.80422,7,1
1.2601,7,1
1.2239,7,1
1.2033,7,1
1.3717,7,1
1.2177,7,1
1.707,7,1
1.1231,7,1
1.7253,7,1
10.125,7,1
2.738,7,1
1.3792,7,1
1.8772,7,1
2.2344,7,1
