ID,C,U,A,Delay
7,0,83,83,13
7,0,64,12,13
7,1,12,83,30
7,0,83,88,30
7,1,12,12,3
7,0,88,64,1
7,1,64,83,3
7,1,12,88,13
7,0,88,83,7
7,1,64,88,1
7,1,64,83,1
7,0,83,12,1
7,1,12,64,3
7,1,64,88,3
7,0,12,64,13
7,1,83,64,1
7,0,88,64,13
7,0,83,83,7
7,1,12,88,7
7,0,64,12,30
7,0,64,64,7
7,0,64,83,7
7,1,12,88,1
7,0,83,88,1
7,0,88,88,30
7,1,88,12,7
7,1,83,88,3
8,1,55,75,7
8,0,75,10,3
8,0,10,30,30
8,0,75,10,7
8,1,10,10,1
8,0,75,55,7
8,0,55,55,7
8,1,30,55,7
8,1,30,55,3
8,1,55,75,1
8,0,30,30,1
8,0,55,10,1
8,1,30,75,1
8,0,10,10,13
8,0,30,10,3
8,0,30,10,30
8,0,30,30,13
8,0,30,30,3
8,0,55,30,30
8,1,30,55,13
8,1,30,55,1
8,1,10,55,13
8,0,55,55,30
8,0,75,75,30
8,0,75,75,13
8,0,55,55,1
8,1,10,55,30
8,0,10,30,1
8,1,30,10,7
8,0,75,30,7
8,0,55,30,7
8,0,55,55,3
8,0,75,55,3
8,1,10,75,7
8,0,55,10,30
8,0,75,30,1
8,0,75,30,30
8,1,30,75,30
8,0,10,10,7
8,0,10,55,7
8,0,10,10,30
8,0,55,10,7
8,0,30,10,1
8,0,75,55,13
8,1,10,75,13
8,1,10,55,3
8,1,10,55,1
8,1,30,55,30
8,0,75,75,1
8,0,75,10,1
8,0,75,10,30
8,1,30,75,3
8,0,75,10,13
8,0,10,30,13
8,1,10,75,30
8,1,55,75,3
8,0,30,30,7
8,1,30,75,13
8,0,10,10,3
8,0,30,30,30
8,0,75,75,3
8,0,55,10,3
8,0,55,10,13
8,0,55,30,3
8,0,55,75,30
8,1,10,75,1
8,0,75,30,13
8,0,55,30,1
8,0,10,30,7
8,1,55,75,13
8,0,30,10,13
8,0,55,55,13
8,1,10,75,3
8,0,75,55,30
8,0,75,75,7
8,1,30,75,7
8,0,10,30,3
8,0,75,30,3
8,0,55,30,13
8,0,75,55,1
9,1,64,77,7
9,1,64,77,13
9,0,64,64,13
9,0,82,64,1
9,1,64,82,3
9,0,97,64,7
9,0,82,64,13
9,0,97,64,13
9,1,82,97,30
9,1,64,82,30
9,0,97,82,13
9,1,97,97,7
9,0,64,97,13
9,0,77,77,30
9,0,77,64,3
9,1,64,97,7
9,0,64,64,30
9,0,97,77,13
9,0,97,82,7
9,1,64,97,1
9,0,82,97,13
9,1,64,97,3
9,0,82,97,3
9,0,97,82,1
9,1,64,82,1
9,1,82,97,1
9,1,77,82,7
9,1,82,97,7
9,0,77,77,13
9,1,77,97,13
9,0,64,64,3
9,0,77,64,7
9,0,77,64,13
9,0,97,82,3
9,1,77,82,13
9,1,77,82,3
9,0,82,82,13
9,0,77,64,30
9,0,82,64,7
9,0,77,82,1
9,0,97,97,30
9,1,77,97,3
9,0,77,97,30
9,0,97,97,13
9,0,82,77,7
9,0,77,64,1
9,0,97,82,30
9,0,64,82,13
9,0,82,82,7
9,1,64,77,30
9,0,97,77,30
9,0,82,82,3
9,0,97,97,1
9,1,64,97,30
9,1,64,77,1
9,0,82,82,1
9,0,64,64,7
9,0,97,64,3
9,0,64,64,1
9,1,77,97,7
9,0,97,64,30
9,0,77,77,3
